elapsed_s,cpu_temp_c,cpu_freq_mhz,cpu_util_pct,cpu_power_w,batches_per_s
0,38.8,4200,100,97.9,410.2
5,38.8,4200,100,92.8,410.09
10,39.8,4200,100,92.1,410.6
15,41.6,4200,100,96.1,407.26
20,42.6,4200,100,94.9,405.48
25,44.0,4200,100,95.6,417.17
30,44.8,4200,100,94.7,413.7
35,45.7,4200,100,96.8,408.9
40,46.6,4200,100,97.0,412.09
45,47.5,4200,100,92.8,411.34
50,48.3,4200,100,96.4,410.65
55,49.7,4200,100,94.9,410.61
60,50.2,4200,100,92.8,408.8
65,50.2,4200,100,99.0,409.72
70,51.7,4200,100,96.2,409.16
75,51.0,4200,100,96.9,408.78
80,53.0,4200,100,92.4,408.69
85,54.0,4200,100,97.9,406.09
90,53.0,4200,100,94.9,412.18
95,54.5,4200,100,95.6,407.03
100,55.3,4200,100,97.2,408.69
105,54.6,4200,100,93.5,412.28
110,55.0,4200,100,94.8,407.03
115,56.4,4200,100,94.5,410.05
120,57.9,4200,100,95.8,414.0
125,57.3,4200,100,94.0,411.14
130,56.1,4200,100,94.9,410.48
135,57.5,4200,100,95.9,408.32
140,57.2,4200,100,94.6,407.06
145,58.7,4200,100,94.7,413.75
150,59.5,4200,100,94.9,411.17
155,58.7,4200,100,97.5,406.77
160,60.4,4200,100,92.7,407.07
165,60.2,4200,100,98.8,412.09
170,60.4,4200,100,94.4,406.55
175,61.0,4200,100,93.9,412.17
180,60.5,4200,100,94.3,407.47
185,61.1,4200,100,96.4,410.38
190,62.2,4200,100,97.4,413.45
195,61.3,4200,100,96.1,404.72
200,62.3,4200,100,98.8,409.42
205,62.3,4200,100,95.3,410.05
210,62.8,4200,100,93.5,413.25
215,63.5,4200,100,94.6,410.94
220,63.6,4200,100,97.1,411.18
225,63.8,4200,100,94.5,406.79
230,63.3,4200,100,97.0,412.93
235,63.9,4200,100,93.9,410.92
240,64.9,4200,100,97.7,407.95
245,64.1,4200,100,92.1,406.59
250,64.4,4200,100,95.0,412.89
255,65.2,4200,100,96.7,413.96
260,64.2,4200,100,92.7,411.5
265,66.3,4200,100,95.7,406.54
270,65.0,4200,100,97.9,406.9
275,65.4,4200,100,93.8,413.82
280,65.6,4200,100,95.6,416.0
285,65.0,4200,100,93.6,415.56
290,64.8,4200,100,99.4,409.88
295,64.8,4200,100,95.0,410.39
300,65.7,4200,100,94.6,413.24
305,64.2,4200,100,93.9,409.21
310,66.8,4200,100,91.0,408.98
315,65.1,4200,100,93.7,411.92
320,66.2,4200,100,97.9,408.2
325,66.2,4200,100,97.3,412.71
330,65.9,4200,100,97.3,407.23
335,67.2,4200,100,95.3,409.66
340,66.4,4200,100,96.7,415.22
345,66.2,4200,100,94.3,411.76
350,65.9,4200,100,91.6,412.51
355,66.2,4200,100,97.3,406.92
360,64.8,4200,100,95.6,410.46
365,67.5,4200,100,96.1,410.93
370,67.0,4200,100,94.3,410.23
375,65.9,4200,100,96.0,407.58
380,66.5,4200,100,96.4,412.75
385,66.2,4200,100,99.0,408.23
