elapsed_s,cpu_temp_c,cpu_freq_mhz,cpu_util_pct,cpu_power_w,batches_per_s
0,38.3,4200,100,91.5,410.2
5,38.9,4200,100,94.2,410.83
10,40.0,4200,100,88.7,405.68
15,41.4,4200,100,94.4,408.55
20,42.2,4200,100,96.3,410.0
25,43.0,4200,100,93.3,412.78
30,44.7,4200,100,95.7,410.03
35,45.7,4200,100,93.9,407.09
40,46.0,4200,100,93.3,415.18
45,47.8,4200,100,95.1,409.64
50,47.3,4200,100,96.5,404.85
55,49.7,4200,100,94.0,405.82
60,50.7,4200,100,93.1,409.17
65,50.5,4200,100,92.1,411.26
70,50.5,4200,100,94.6,406.6
75,52.9,4200,100,95.1,414.25
80,52.4,4200,100,95.4,411.53
85,53.3,4200,100,94.5,413.26
90,54.1,4200,100,95.1,412.38
95,52.9,4200,100,93.0,411.38
100,54.8,4200,100,94.5,405.59
105,55.4,4200,100,97.7,408.47
110,55.5,4200,100,94.4,413.06
115,56.2,4200,100,91.8,410.63
120,56.9,4200,100,95.3,404.9
125,56.9,4200,100,94.4,410.93
130,59.0,4200,100,97.7,413.29
135,59.0,4200,100,97.0,411.82
140,59.2,4200,100,94.2,408.48
145,60.0,4200,100,92.7,408.22
150,59.4,4200,100,95.4,407.94
155,59.6,4200,100,93.4,407.72
160,60.0,4200,100,101.6,406.45
165,62.0,4200,100,92.6,410.44
170,60.8,4200,100,96.2,409.02
175,60.6,4200,100,93.9,408.95
180,60.6,4200,100,94.8,410.19
185,60.9,4200,100,92.4,412.27
190,61.5,4200,100,93.7,408.16
195,61.9,4200,100,96.0,410.57
200,63.8,4200,100,94.3,410.99
205,62.4,4200,100,96.9,405.41
210,62.5,4200,100,94.6,418.12
215,64.5,4200,100,98.9,409.86
220,62.5,4200,100,96.1,413.07
225,63.2,4200,100,98.9,415.7
230,62.8,4200,100,94.2,409.11
235,63.8,4200,100,94.7,410.0
240,64.0,4200,100,100.1,408.5
245,63.6,4200,100,97.3,412.84
250,63.8,4200,100,93.2,407.29
255,63.4,4200,100,92.4,411.22
260,64.0,4200,100,94.5,409.05
265,64.6,4200,100,95.9,410.39
270,65.8,4200,100,95.7,408.09
275,66.2,4200,100,95.6,411.33
280,65.5,4200,100,94.4,407.11
285,66.2,4200,100,93.5,408.96
290,66.1,4200,100,97.0,409.94
295,66.9,4200,100,94.6,416.81
300,66.6,4200,100,95.4,409.18
305,66.6,4200,100,91.6,411.98
310,66.4,4200,100,98.1,414.03
315,66.3,4200,100,95.9,407.01
320,66.6,4200,100,93.5,405.81
325,67.4,4200,100,98.5,409.53
330,66.6,4200,100,99.7,405.84
335,67.4,4200,100,94.4,411.74
340,66.5,4200,100,98.1,413.45
345,66.5,4200,100,97.4,412.69
350,67.6,4200,100,92.9,412.44
355,66.8,4200,100,95.5,405.24
360,68.1,4200,100,94.9,411.21
365,66.0,4200,100,94.6,410.38
370,67.1,4200,100,92.8,410.89
375,66.8,4200,100,96.8,406.45
380,67.8,4200,100,93.0,406.5
385,67.4,4200,100,96.2,411.12
390,66.9,4200,100,94.4,407.11
395,67.9,4200,100,91.5,406.26
400,66.6,4200,100,96.0,405.38
405,67.8,4200,100,91.6,404.68
410,67.6,4200,100,95.8,408.72
415,68.3,4200,100,94.1,408.27
420,67.4,4200,100,97.7,409.3
425,68.7,4200,100,97.7,413.06
430,68.1,4200,100,97.6,411.24
435,66.2,4200,100,95.4,409.42
440,67.0,4200,100,91.3,410.22
445,67.0,4200,100,95.0,407.34
450,67.9,4200,100,93.1,410.5
455,67.7,4200,100,94.1,409.01
460,68.0,4200,100,89.7,404.04
465,67.9,4200,100,95.1,410.5
470,68.1,4200,100,93.1,413.66
475,68.3,4200,100,95.7,409.05
480,67.5,4200,100,93.8,410.91
485,68.0,4200,100,96.6,410.5
490,67.7,4200,100,97.3,405.53
495,67.2,4200,100,95.8,408.33
500,67.2,4200,100,92.1,409.77
505,68.9,4200,100,97.8,409.46
510,67.9,4200,100,93.4,415.42
515,68.0,4200,100,94.3,412.05
520,68.8,4200,100,95.1,413.44
525,67.4,4200,100,95.9,411.55
530,68.4,4200,100,96.3,410.29
535,68.5,4200,100,90.8,407.58
540,68.7,4200,100,92.8,407.1
545,69.4,4200,100,95.1,410.57
550,68.5,4200,100,98.5,408.96
555,67.8,4200,100,95.5,413.94
560,67.2,4200,100,94.7,408.56
565,68.4,4200,100,96.3,410.67
570,67.4,4200,100,94.5,409.35
575,68.3,4200,100,97.1,408.77
580,67.9,4200,100,94.7,409.82
585,68.8,4200,100,91.6,405.66
590,68.3,4200,100,96.8,409.56
595,68.5,4200,100,98.5,410.07
600,68.6,4200,100,94.9,412.64
605,68.7,4200,100,94.5,411.85
610,68.7,4200,100,94.0,411.94
615,69.6,4200,100,92.8,406.53
620,68.4,4200,100,94.6,410.44
625,68.4,4200,100,95.3,413.09
630,69.2,4200,100,90.8,411.35
635,68.5,4200,100,96.1,409.87
640,68.7,4200,100,94.6,407.79
645,68.4,4200,100,96.6,409.83
650,68.5,4200,100,97.5,412.29
655,68.0,4200,100,93.4,409.2
660,68.8,4200,100,97.1,404.62
665,69.3,4200,100,95.1,410.36
670,69.0,4200,100,95.6,410.28
675,69.1,4200,100,97.4,406.38
680,67.6,4200,100,92.9,410.49
685,68.4,4200,100,94.6,408.21
690,68.1,4200,100,96.1,409.56
695,68.8,4200,100,96.1,414.1
700,69.9,4200,100,93.8,413.54
705,68.7,4200,100,95.9,413.07
710,68.3,4200,100,94.8,412.6
715,69.0,4200,100,98.6,411.54
720,68.7,4200,100,94.8,411.47
725,67.5,4200,100,97.6,410.66
730,68.3,4200,100,95.2,411.29
735,67.9,4200,100,96.8,403.18
740,69.5,4200,100,94.4,410.42
745,68.5,4200,100,93.8,412.56
750,68.1,4200,100,94.9,411.28
755,68.0,4200,100,96.2,406.99
760,69.2,4200,100,94.3,413.53
765,68.7,4200,100,93.0,412.56
770,69.4,4200,100,96.9,405.26
775,68.1,4200,100,96.9,411.08
780,68.5,4200,100,94.6,410.16
785,67.4,4200,100,92.6,406.02
790,69.3,4200,100,94.2,403.38
795,68.6,4200,100,94.3,407.47
800,67.9,4200,100,93.2,410.52
805,68.5,4200,100,96.5,413.6
810,68.5,4200,100,91.8,406.69
815,68.8,4200,100,96.5,409.06
820,68.7,4200,100,95.4,413.25
825,69.2,4200,100,94.3,407.82
830,68.8,4200,100,93.8,406.66
835,69.4,4200,100,95.4,406.37
840,69.0,4200,100,92.9,406.69
845,67.8,4200,100,92.6,408.13
850,68.9,4200,100,94.8,410.42
855,68.8,4200,100,94.1,413.07
860,68.1,4200,100,93.0,415.68
865,68.9,4200,100,95.4,417.43
870,68.2,4200,100,98.2,409.45
875,68.7,4200,100,93.0,409.37
880,69.3,4200,100,94.9,408.13
885,69.1,4200,100,97.5,409.71
890,68.6,4200,100,94.2,410.71
895,68.5,4200,100,97.8,407.87
900,69.5,4200,100,94.6,411.75
905,68.2,4200,100,94.6,406.58
910,68.4,4200,100,94.9,406.03
915,70.0,4200,100,98.3,412.26
920,68.9,4200,100,93.8,404.42
925,69.4,4200,100,92.6,409.38
930,68.5,4200,100,95.0,414.55
935,68.8,4200,100,94.6,412.28
940,68.6,4200,100,91.1,407.24
945,68.8,4200,100,93.4,412.49
950,69.6,4200,100,93.0,409.66
955,69.0,4200,100,94.1,407.61
960,69.2,4200,100,94.2,414.95
965,68.9,4200,100,95.0,410.09
970,69.1,4200,100,94.1,411.26
975,69.4,4200,100,95.4,410.74
980,68.1,4200,100,94.1,409.78
985,68.7,4200,100,97.1,410.63
990,68.9,4200,100,93.6,408.35
995,68.8,4200,100,98.3,405.92
1000,69.5,4200,100,94.2,414.35
1005,69.5,4200,100,93.3,410.54
1010,68.1,4200,100,96.4,409.1
1015,68.3,4200,100,94.9,411.24
1020,70.4,4200,100,96.7,410.63
1025,68.9,4200,100,90.5,405.08
1030,67.6,4200,100,92.6,412.45
1035,69.8,4200,100,95.5,408.29
1040,69.4,4200,100,99.6,409.97
1045,69.8,4200,100,97.7,407.03
1050,69.1,4200,100,93.3,410.48
1055,68.8,4200,100,93.1,411.56
1060,69.0,4200,100,94.5,412.08
1065,69.3,4200,100,97.5,414.97
1070,68.3,4200,100,95.9,404.2
1075,69.6,4200,100,98.8,406.61
1080,69.8,4200,100,96.3,410.64
1085,67.7,4200,100,92.9,408.34
1090,69.1,4200,100,95.2,411.9
1095,69.1,4200,100,94.6,406.51
1100,68.6,4200,100,94.6,416.15
1105,68.8,4200,100,94.8,412.44
1110,69.6,4200,100,96.2,409.75
1115,70.0,4200,100,93.8,413.71
1120,70.0,4200,100,95.5,407.87
1125,68.7,4200,100,95.5,403.55
1130,69.9,4200,100,93.3,405.79
1135,69.4,4200,100,95.1,406.88
1140,69.9,4200,100,92.6,407.75
1145,68.2,4200,100,98.5,411.22
1150,68.3,4200,100,96.0,407.64
1155,68.6,4200,100,94.6,403.57
1160,69.2,4200,100,95.0,413.93
1165,68.6,4200,100,92.2,406.59
1170,68.8,4200,100,96.7,416.13
1175,69.5,4200,100,95.8,406.08
1180,68.3,4200,100,92.6,411.42
1185,69.8,4200,100,94.6,405.55
1190,69.6,4200,100,94.8,407.22
1195,68.2,4200,100,91.3,413.97
1200,68.9,4200,100,95.6,410.89
1205,69.7,4200,100,99.4,408.91
1210,69.9,4200,100,93.3,405.15
1215,69.2,4200,100,91.1,404.87
1220,68.7,4200,100,96.2,408.74
1225,68.1,4200,100,94.9,407.68
1230,68.9,4200,100,93.8,409.09
1235,69.7,4200,100,96.0,409.52
1240,68.7,4200,100,91.9,415.12
1245,70.1,4200,100,91.6,410.55
1250,69.5,4200,100,95.2,409.96
1255,69.0,4200,100,97.8,410.45
1260,69.8,4200,100,95.6,410.01
1265,69.0,4200,100,97.4,403.92
1270,70.1,4200,100,94.6,410.19
1275,68.9,4200,100,91.4,406.67
1280,69.5,4200,100,94.1,410.85
1285,68.7,4200,100,91.4,408.99
1290,69.0,4200,100,93.5,413.69
1295,68.2,4200,100,95.2,408.52
1300,70.0,4200,100,95.2,410.45
1305,69.4,4200,100,95.4,408.73
1310,69.2,4200,100,96.7,416.03
1315,68.7,4200,100,95.5,406.16
1320,70.4,4200,100,98.5,410.11
1325,70.1,4200,100,95.4,405.87
1330,70.4,4200,100,91.9,406.25
1335,70.0,4200,100,96.8,411.17
1340,69.1,4200,100,93.6,405.85
1345,70.0,4200,100,96.1,415.97
1350,69.6,4200,100,96.1,407.75
1355,69.0,4200,100,96.0,406.99
1360,69.9,4200,100,97.1,405.61
1365,69.7,4200,100,95.5,410.02
1370,69.1,4200,100,97.3,410.02
1375,69.7,4200,100,95.8,407.46
1380,68.6,4200,100,98.3,414.53
1385,69.3,4200,100,97.2,413.31
1390,70.3,4200,100,96.9,409.02
1395,69.8,4200,100,94.0,410.11
1400,68.8,4200,100,91.8,406.67
1405,68.4,4200,100,95.8,411.39
1410,69.6,4200,100,93.5,409.28
1415,68.6,4200,100,95.8,411.07
1420,70.5,4200,100,93.0,408.91
1425,69.3,4200,100,99.7,410.09
1430,69.7,4200,100,92.0,408.95
1435,70.7,4200,100,97.7,411.38
1440,69.2,4200,100,93.2,410.09
1445,69.0,4200,100,99.5,407.7
1450,69.1,4200,100,96.5,410.1
1455,68.9,4200,100,92.4,406.91
1460,70.4,4200,100,93.9,408.88
1465,70.0,4200,100,98.2,411.79
1470,69.7,4200,100,93.8,406.61
1475,69.5,4200,100,94.9,410.04
1480,68.2,4200,100,92.3,411.72
1485,70.3,4200,100,95.4,405.65
1490,69.8,4200,100,93.3,408.51
1495,69.3,4200,100,96.5,412.59
1500,69.8,4200,100,93.1,412.52
1505,69.2,4200,100,92.0,412.12
1510,70.6,4200,100,92.9,408.19
1515,69.1,4200,100,94.1,412.88
1520,70.0,4200,100,95.4,409.85
1525,69.0,4200,100,94.0,407.26
1530,69.8,4200,100,96.3,408.26
1535,69.9,4200,100,93.3,415.54
1540,68.9,4200,100,93.9,409.08
1545,70.0,4200,100,95.5,406.72
1550,69.9,4200,100,96.6,405.99
1555,68.2,4200,100,96.2,406.25
1560,70.1,4200,100,98.6,413.13
1565,69.7,4200,100,96.7,408.82
1570,69.0,4200,100,94.8,408.04
1575,69.7,4200,100,92.7,406.14
1580,69.6,4200,100,95.2,409.43
1585,70.1,4200,100,92.1,411.17
1590,69.4,4200,100,94.9,412.5
1595,69.6,4200,100,96.8,414.03
1600,69.5,4200,100,91.4,407.74
1605,69.3,4200,100,95.4,406.88
1610,69.7,4200,100,95.5,403.5
1615,70.5,4200,100,93.8,405.23
1620,69.1,4200,100,96.5,418.62
1625,68.4,4200,100,93.7,412.72
1630,69.2,4200,100,95.1,407.97
1635,69.6,4200,100,95.6,406.33
1640,69.0,4200,100,92.1,409.92
1645,71.1,4200,100,97.3,408.97
1650,70.4,4200,100,96.3,408.33
1655,69.2,4200,100,95.3,406.84
1660,69.6,4200,100,95.8,405.55
1665,68.9,4200,100,94.4,406.84
1670,69.6,4200,100,95.6,410.28
1675,70.0,4200,100,95.2,410.09
1680,69.6,4200,100,95.2,409.01
1685,69.6,4200,100,94.3,410.15
1690,70.1,4200,100,97.6,413.92
1695,70.1,4200,100,93.8,405.34
1700,68.7,4200,100,94.4,409.79
1705,70.3,4200,100,95.2,409.25
1710,68.9,4200,100,96.4,414.82
1715,69.4,4200,100,99.2,411.42
1720,69.2,4200,100,96.3,409.93
1725,69.9,4200,100,92.6,410.33
1730,70.2,4200,100,92.6,410.66
1735,70.4,4200,100,95.6,407.17
1740,69.6,4200,100,96.5,410.87
1745,69.6,4200,100,93.7,407.1
1750,69.6,4200,100,92.7,410.36
1755,70.9,4200,100,94.6,409.05
1760,69.8,4200,100,96.2,408.42
1765,70.0,4200,100,93.3,405.95
1770,69.4,4200,100,96.0,407.27
1775,69.3,4200,100,95.5,403.24
1780,69.5,4200,100,90.4,407.33
1785,70.8,4200,100,91.7,412.5
1790,69.4,4200,100,93.9,408.07
1795,70.9,4200,100,93.9,409.36
1800,69.5,4200,100,94.5,411.34
1805,69.9,4200,100,95.2,407.15
1810,69.9,4200,100,94.6,409.03
1815,69.8,4200,100,93.9,405.34
1820,70.0,4200,100,91.4,411.81
1825,69.4,4200,100,93.2,412.22
1830,69.4,4200,100,95.1,406.44
1835,70.0,4200,100,95.6,408.37
1840,69.7,4200,100,91.9,412.5
1845,69.4,4200,100,94.7,407.68
1850,69.9,4200,100,94.5,408.02
1855,69.6,4200,100,95.4,413.69
1860,69.1,4200,100,97.0,409.4
1865,70.1,4200,100,93.6,412.07
1870,70.3,4200,100,91.3,403.97
1875,70.8,4200,100,93.8,408.4
1880,68.9,4200,100,94.9,409.27
1885,69.5,4200,100,97.5,408.48
