elapsed_s,tank_top,tank_bottom,room
0,34.99,34.98,22.0
60,35.0,34.93,22.0
120,34.89,34.85,22.0
180,34.87,34.9,22.0
240,34.83,34.81,22.0
300,34.74,34.84,22.0
360,34.77,34.79,22.0
420,34.68,34.7,22.0
480,34.67,34.7,22.0
540,34.59,34.7,22.0
600,34.62,34.59,22.0
660,34.56,34.53,22.0
720,34.58,34.53,22.0
780,34.46,34.47,22.0
840,34.49,34.42,22.0
900,34.43,34.47,22.0
960,34.37,34.37,22.0
1020,34.41,34.44,22.0
1080,34.32,34.29,22.0
1140,34.27,34.3,22.0
1200,34.28,34.24,22.0
1260,34.26,34.26,22.0
1320,34.17,34.16,22.0
1380,34.13,34.16,22.0
1440,34.05,34.07,22.0
1500,34.04,34.05,22.0
1560,34.01,34.0,22.0
1620,33.94,33.94,22.0
1680,33.94,33.9,22.0
1740,33.94,33.97,22.0
1800,33.92,33.97,22.0
1860,33.86,33.83,22.0
1920,33.73,33.77,22.0
1980,33.77,33.78,22.0
2040,33.7,33.69,22.0
2100,33.73,33.68,22.0
2160,33.63,33.66,22.0
2220,33.63,33.65,22.0
2280,33.64,33.56,22.0
2340,33.59,33.6,22.0
2400,33.52,33.54,22.0
2460,33.48,33.5,22.0
2520,33.5,33.55,22.0
2580,33.47,33.37,22.0
2640,33.39,33.36,22.0
2700,33.32,33.41,22.0
2760,33.29,33.26,22.0
2820,33.29,33.24,22.0
2880,33.21,33.2,22.0
2940,33.19,33.24,22.0
3000,33.1,33.17,22.0
3060,33.14,33.13,22.0
3120,33.09,33.06,22.0
3180,33.05,33.03,22.0
3240,33.12,33.08,22.0
3300,33.1,32.99,22.0
3360,32.99,32.98,22.0
3420,32.95,32.94,22.0
3480,32.93,32.92,22.0
3540,32.84,32.95,22.0
3600,32.87,32.88,22.0
3660,32.85,32.89,22.0
3720,32.79,32.78,22.0
3780,32.72,32.73,22.0
3840,32.67,32.67,22.0
3900,32.68,32.65,22.0
3960,32.63,32.63,22.0
4020,32.64,32.74,22.0
4080,32.6,32.62,22.0
4140,32.56,32.59,22.0
4200,32.58,32.51,22.0
4260,32.48,32.53,22.0
4320,32.51,32.46,22.0
4380,32.4,32.46,22.0
4440,32.41,32.39,22.0
4500,32.44,32.4,22.0
4560,32.32,32.4,22.0
4620,32.34,32.32,22.0
4680,32.31,32.36,22.0
4740,32.22,32.23,22.0
4800,32.23,32.24,22.0
4860,32.18,32.18,22.0
4920,32.11,32.18,22.0
4980,32.14,32.13,22.0
5040,32.16,32.12,22.0
5100,32.13,32.1,22.0
5160,31.97,32.09,22.0
5220,32.03,31.95,22.0
5280,32.0,31.95,22.0
5340,31.99,31.98,22.0
5400,31.9,31.97,22.0
5460,31.93,32.0,22.0
5520,31.93,31.86,22.0
5580,31.8,31.79,22.0
5640,31.79,31.84,22.0
5700,31.75,31.78,22.0
5760,31.79,31.82,22.0
5820,31.66,31.69,22.0
5880,31.67,31.64,22.0
5940,31.59,31.69,22.0
6000,31.65,31.63,22.0
6060,31.56,31.62,22.0
6120,31.53,31.57,22.0
6180,31.54,31.49,22.0
6240,31.53,31.47,22.0
6300,31.53,31.59,22.0
6360,31.44,31.38,22.0
6420,31.39,31.52,22.0
6480,31.42,31.42,22.0
6540,31.42,31.39,22.0
6600,31.29,31.41,22.0
6660,31.38,31.37,22.0
6720,31.32,31.3,22.0
6780,31.19,31.29,22.0
6840,31.21,31.24,22.0
6900,31.19,31.2,22.0
6960,31.1,31.13,22.0
7020,31.19,31.17,22.0
7080,31.11,31.12,22.0
7140,31.04,31.17,22.0
7200,31.1,31.12,22.0
7260,30.98,31.04,22.0
7320,31.04,30.97,22.0
7380,31.0,30.9,22.0
7440,30.96,30.92,22.0
7500,30.95,31.0,22.0
7560,30.91,30.92,22.0
7620,30.88,30.89,22.0
7680,30.81,30.87,22.0
7740,30.81,30.8,22.0
7800,30.83,30.78,22.0
7860,30.84,30.81,22.0
7920,30.69,30.74,22.0
7980,30.73,30.74,22.0
8040,30.71,30.74,22.0
8100,30.67,30.74,22.0
8160,30.67,30.69,22.0
8220,30.65,30.61,22.0
8280,30.6,30.5,22.0
8340,30.58,30.5,22.0
8400,30.55,30.6,22.0
8460,30.54,30.53,22.0
8520,30.47,30.45,22.0
8580,30.48,30.47,22.0
8640,30.42,30.39,22.0
8700,30.43,30.37,22.0
8760,30.38,30.3,22.0
8820,30.39,30.39,22.0
8880,30.38,30.29,22.0
8940,30.24,30.28,22.0
9000,30.34,30.28,22.0
9060,30.26,30.31,22.0
9120,30.23,30.27,22.0
9180,30.2,30.21,22.0
9240,30.23,30.2,22.0
9300,30.2,30.2,22.0
9360,30.13,30.2,22.0
9420,30.22,30.16,22.0
9480,30.07,30.12,22.0
9540,30.08,29.96,22.0
9600,29.98,30.05,22.0
9660,30.06,30.04,22.0
9720,29.92,30.01,22.0
9780,29.94,29.99,22.0
9840,29.9,29.96,22.0
9900,29.97,29.95,22.0
9960,29.88,29.92,22.0
10020,29.87,29.87,22.0
10080,29.93,29.94,22.0
10140,29.79,29.89,22.0
10200,29.88,29.79,22.0
10260,29.79,29.77,22.0
10320,29.78,29.74,22.0
10380,29.74,29.74,22.0
10440,29.69,29.68,22.0
10500,29.69,29.73,22.0
10560,29.66,29.65,22.0
10620,29.64,29.61,22.0
10680,29.53,29.67,22.0
10740,29.67,29.6,22.0
