elapsed_s,tank_top,tank_bottom,hx_hot_in,hx_hot_out,hx_cold_in,hx_cold_out,room
0,22.3,21.67,34.0,30.0,22.0,25.0,22.0
5,22.36,21.77,34.02,30.02,22.02,25.02,22.0
10,22.25,21.66,34.03,30.03,22.03,25.03,22.0
15,22.41,21.79,34.05,30.05,22.05,25.05,22.0
20,22.41,21.81,34.07,30.07,22.07,25.07,22.0
25,22.35,21.74,34.08,30.08,22.08,25.08,22.0
30,22.36,21.83,34.1,30.1,22.1,25.1,22.0
35,22.46,21.73,34.12,30.12,22.12,25.12,22.0
40,22.36,21.86,34.14,30.14,22.14,25.14,22.0
45,22.4,21.87,34.15,30.15,22.15,25.15,22.0
50,22.42,21.82,34.17,30.17,22.17,25.17,22.0
55,22.43,21.9,34.19,30.19,22.19,25.19,22.0
60,22.53,21.87,34.2,30.2,22.2,25.2,22.0
65,22.5,21.9,34.22,30.22,22.22,25.22,22.0
70,22.55,21.93,34.24,30.24,22.24,25.24,22.0
75,22.56,21.92,34.25,30.25,22.25,25.25,22.0
80,22.57,21.97,34.27,30.27,22.27,25.27,22.0
85,22.58,22.0,34.29,30.29,22.29,25.29,22.0
90,22.54,22.04,34.3,30.3,22.3,25.3,22.0
95,22.68,22.03,34.32,30.32,22.32,25.32,22.0
100,22.55,22.1,34.34,30.34,22.34,25.34,22.0
105,22.64,22.06,34.35,30.35,22.35,25.35,22.0
110,22.68,22.17,34.37,30.37,22.37,25.37,22.0
115,22.64,22.09,34.39,30.39,22.39,25.39,22.0
120,22.69,22.14,34.4,30.4,22.4,25.4,22.0
125,22.76,22.17,34.42,30.42,22.42,25.42,22.0
130,22.75,22.16,34.44,30.44,22.44,25.44,22.0
135,22.77,22.18,34.45,30.45,22.45,25.45,22.0
140,22.8,22.15,34.47,30.47,22.47,25.47,22.0
145,22.91,22.21,34.49,30.49,22.49,25.49,22.0
150,22.67,22.21,34.5,30.5,22.5,25.5,22.0
155,22.83,22.16,34.52,30.52,22.52,25.52,22.0
160,22.83,22.24,34.53,30.53,22.53,25.53,22.0
165,22.82,22.27,34.55,30.55,22.55,25.55,22.0
170,22.8,22.34,34.57,30.57,22.57,25.57,22.0
175,22.8,22.2,34.58,30.58,22.58,25.58,22.0
180,22.91,22.2,34.6,30.6,22.6,25.6,22.0
185,22.96,22.35,34.62,30.62,22.62,25.62,22.0
190,22.97,22.25,34.63,30.63,22.63,25.63,22.0
195,22.97,22.3,34.65,30.65,22.65,25.65,22.0
200,23.01,22.41,34.66,30.66,22.66,25.66,22.0
205,22.9,22.35,34.68,30.68,22.68,25.68,22.0
210,22.93,22.48,34.7,30.7,22.7,25.7,22.0
215,23.07,22.36,34.71,30.71,22.71,25.71,22.0
220,23.02,22.28,34.73,30.73,22.73,25.73,22.0
225,23.08,22.47,34.75,30.75,22.75,25.75,22.0
230,23.01,22.48,34.76,30.76,22.76,25.76,22.0
235,23.05,22.43,34.78,30.78,22.78,25.78,22.0
240,23.09,22.5,34.79,30.79,22.79,25.79,22.0
245,23.17,22.53,34.81,30.81,22.81,25.81,22.0
250,23.11,22.56,34.83,30.83,22.83,25.83,22.0
255,23.16,22.54,34.84,30.84,22.84,25.84,22.0
260,23.18,22.61,34.86,30.86,22.86,25.86,22.0
265,23.18,22.63,34.87,30.87,22.87,25.87,22.0
270,23.19,22.57,34.89,30.89,22.89,25.89,22.0
275,23.15,22.55,34.91,30.91,22.91,25.91,22.0
280,23.35,22.53,34.92,30.92,22.92,25.92,22.0
285,23.24,22.65,34.94,30.94,22.94,25.94,22.0
290,23.22,22.6,34.95,30.95,22.95,25.95,22.0
295,23.32,22.63,34.97,30.97,22.97,25.97,22.0
300,23.29,22.68,34.98,30.98,22.98,25.98,22.0
305,23.27,22.71,35.0,31.0,23.0,26.0,22.0
310,23.32,22.73,35.02,31.02,23.02,26.02,22.0
315,23.38,22.72,35.03,31.03,23.03,26.03,22.0
320,23.37,22.67,35.05,31.05,23.05,26.05,22.0
325,23.38,22.72,35.06,31.06,23.06,26.06,22.0
330,23.39,22.72,35.08,31.08,23.08,26.08,22.0
335,23.46,22.76,35.1,31.1,23.1,26.1,22.0
340,23.51,22.74,35.11,31.11,23.11,26.11,22.0
345,23.4,22.86,35.13,31.13,23.13,26.13,22.0
350,23.54,22.84,35.14,31.14,23.14,26.14,22.0
355,23.44,22.84,35.16,31.16,23.16,26.16,22.0
360,23.39,22.79,35.17,31.17,23.17,26.17,22.0
365,23.63,22.82,35.19,31.19,23.19,26.19,22.0
370,23.48,22.94,35.2,31.2,23.2,26.2,22.0
375,23.55,22.92,35.22,31.22,23.22,26.22,22.0
380,23.53,23.01,35.24,31.24,23.24,26.24,22.0
385,23.67,22.96,35.25,31.25,23.25,26.25,22.0
390,23.51,22.89,35.27,31.27,23.27,26.27,22.0
395,23.57,23.04,35.28,31.28,23.28,26.28,22.0
400,23.62,22.98,35.3,31.3,23.3,26.3,22.0
405,23.64,23.03,35.31,31.31,23.31,26.31,22.0
410,23.64,23.06,35.33,31.33,23.33,26.33,22.0
415,23.67,23.05,35.34,31.34,23.34,26.34,22.0
420,23.62,23.07,35.36,31.36,23.36,26.36,22.0
425,23.62,23.09,35.37,31.37,23.37,26.37,22.0
430,23.67,23.03,35.39,31.39,23.39,26.39,22.0
435,23.82,23.08,35.4,31.4,23.4,26.4,22.0
440,23.77,23.08,35.42,31.42,23.42,26.42,22.0
445,23.74,23.19,35.43,31.43,23.43,26.43,22.0
450,23.69,23.15,35.45,31.45,23.45,26.45,22.0
455,23.83,23.14,35.47,31.47,23.47,26.47,22.0
460,23.81,23.17,35.48,31.48,23.48,26.48,22.0
465,23.77,23.17,35.5,31.5,23.5,26.5,22.0
470,23.82,23.21,35.51,31.51,23.51,26.51,22.0
475,23.8,23.25,35.53,31.53,23.53,26.53,22.0
480,23.83,23.25,35.54,31.54,23.54,26.54,22.0
485,23.89,23.26,35.56,31.56,23.56,26.56,22.0
490,23.86,23.21,35.57,31.57,23.57,26.57,22.0
495,23.87,23.18,35.59,31.59,23.59,26.59,22.0
500,23.83,23.3,35.6,31.6,23.6,26.6,22.0
505,23.93,23.36,35.62,31.62,23.62,26.62,22.0
510,23.93,23.24,35.63,31.63,23.63,26.63,22.0
515,23.97,23.37,35.65,31.65,23.65,26.65,22.0
520,23.91,23.37,35.66,31.66,23.66,26.66,22.0
525,23.9,23.31,35.68,31.68,23.68,26.68,22.0
530,23.99,23.41,35.69,31.69,23.69,26.69,22.0
535,24.04,23.43,35.71,31.71,23.71,26.71,22.0
540,24.0,23.44,35.72,31.72,23.72,26.72,22.0
545,24.06,23.39,35.74,31.74,23.74,26.74,22.0
550,24.05,23.49,35.75,31.75,23.75,26.75,22.0
555,24.12,23.42,35.77,31.77,23.77,26.77,22.0
560,24.09,23.46,35.78,31.78,23.78,26.78,22.0
565,24.12,23.54,35.8,31.8,23.8,26.8,22.0
570,24.08,23.52,35.81,31.81,23.81,26.81,22.0
575,24.13,23.54,35.82,31.82,23.82,26.82,22.0
580,24.17,23.55,35.84,31.84,23.84,26.84,22.0
585,24.16,23.6,35.85,31.85,23.85,26.85,22.0
590,24.02,23.46,35.87,31.87,23.87,26.87,22.0
595,24.13,23.56,35.88,31.88,23.88,26.88,22.0
